,id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,recipes
17,17,After sex,Alcoholic,Ordinary Drink,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,"['Vodka', 'Creme de Banane', 'Orange juice']","['2 cl ', '1 cl ', None]",question Generate a cocktail with Vodka Creme de Banane Orange juice answer Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar
18,18,Applejack,Alcoholic,Cocktail,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass",https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,"['Jack Daniels', 'Midori melon liqueur', 'Sour mix']","['1 oz ', '1/2 oz ', '2 oz ']","question Generate a cocktail with Jack Daniels Midori melon liqueur Sour mix answer Add all ingredients into mixing glass, chill and strain into cocktail glass"
19,19,Afterglow,Non alcoholic,Cocktail,Highball Glass,Mix. Serve over ice.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,"['Grenadine', 'Orange juice', 'Pineapple juice']","['1 part ', '4 parts ', '4 parts ']",question Generate a cocktail with Grenadine Orange juice Pineapple juice answer Mix. Serve over ice.
20,20,Afternoon,Alcoholic,Coffee / Tea,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,"['Kahlua', 'Baileys irish cream', 'Frangelico', 'Coffee', 'Cream']","['1 cl ', '1 cl ', '1 1/2 ', '4 cl hot ', None]","question Generate a cocktail with Kahlua Baileys irish cream Frangelico Coffee Cream answer Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
21,21,Alexander,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,"['Gin', 'Creme de Cacao', 'Light cream', 'Nutmeg']","['1/2 oz ', '1/2 oz white ', '2 oz ', None]",question Generate a cocktail with Gin Creme de Cacao Light cream Nutmeg answer Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
22,22,Autodafé,Alcoholic,Ordinary Drink,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,"['Vodka', 'Lime juice', 'Soda water']","['4 cl ', '1 dash ', None]",question Generate a cocktail with Vodka Lime juice Soda water answer Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.
23,23,Allegheny,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,"['Dry Vermouth', 'Bourbon', 'Blackberry brandy', 'Lemon juice', 'Lemon peel']","['1 oz ', '1 oz ', '1 1/2 tsp ', '1 1/2 tsp ', '1 twist of ']",question Generate a cocktail with Dry Vermouth Bourbon Blackberry brandy Lemon juice Lemon peel answer Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
24,24,Americano,Alcoholic,Ordinary Drink,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,"['Campari', 'Sweet Vermouth', 'Lemon peel', 'Orange peel']","['1 oz ', '1 oz red ', 'Twist of ', 'Twist of ']","question Generate a cocktail with Campari Sweet Vermouth Lemon peel Orange peel answer Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice."
25,25,B-52,Alcoholic,Shot,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,"['Baileys irish cream', 'Grand Marnier', 'Kahlua']","['1/3 ', '1/3 ', '1/4 ']",question Generate a cocktail with Baileys irish cream Grand Marnier Kahlua answer Layer ingredients into a shot glass. Serve with a stirrer.
26,26,B-53,Alcoholic,Shot,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,"['Kahlua', 'Sambuca', 'Grand Marnier']","['1/3 shot ', '1/3 shot ', '1/3 shot ']","question Generate a cocktail with Kahlua Sambuca Grand Marnier answer Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52"
27,27,Bijou,Alcoholic,Cocktail,Cocktail glass,"Stir in mixing glass with ice and strain
",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,"['Orange Bitters', 'Green Chartreuse', 'Gin', 'Sweet Vermouth']","['1 dash', '1 oz', '1 oz', '1 oz']","question Generate a cocktail with Orange Bitters Green Chartreuse Gin Sweet Vermouth answer Stir in mixing glass with ice and strain
"
28,28,Boxcar,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,"['Gin', 'Triple sec', 'Lemon juice', 'Grenadine', 'Egg white']","['1 1/2 oz ', '1 oz ', '1 tsp ', '1/2 tsp ', '1 ']","question Generate a cocktail with Gin Triple sec Lemon juice Grenadine Egg white answer In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
29,29,Big Red,Alcoholic,Shot,Shot glass,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,"['Irish cream', 'Goldschlager']","['1/2 oz ', '1/2 oz ']",question Generate a cocktail with Irish cream Goldschlager answer Pour ingredients into 1 ounce shot glass
30,30,Bellini,Alcoholic,Ordinary Drink,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,"['Champagne', 'Peach schnapps']","['6 oz ', '1 oz ']","question Generate a cocktail with Champagne Peach schnapps answer Pour peach purée into chilled flute, add sparkling wine. Stir gently."
31,31,Bramble,Alcoholic,Ordinary Drink,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg,"['Gin', 'lemon juice', 'Sugar syrup', 'Creme de Mure']","['4 cl', '1.5 cl', '1 cl', '1.5 cl']","question Generate a cocktail with Gin lemon juice Sugar syrup Creme de Mure answer Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice."
32,32,Balmoral,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,"['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Bitters']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ']","question Generate a cocktail with Scotch Sweet Vermouth Dry Vermouth Bitters answer In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
33,33,Bluebird,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,"['Gin', 'Triple sec', 'Blue Curacao', 'Bitters', 'Maraschino cherry', 'Lemon peel']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ', '1 ', '1 twist of ']","question Generate a cocktail with Gin Triple sec Blue Curacao Bitters Maraschino cherry Lemon peel answer In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry."
34,34,Brooklyn,Alcoholic,Cocktail,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,"['Rye Whiskey', 'Dry Vermouth', 'Maraschino Liqueur', 'Angostura Bitters', 'Maraschino Cherry']","['2 oz', '1 oz', '1/4 oz', '3 dashes', '1']",question Generate a cocktail with Rye Whiskey Dry Vermouth Maraschino Liqueur Angostura Bitters Maraschino Cherry answer Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.
35,35,Bora Bora,Non alcoholic,Cocktail,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,"['Pineapple juice', 'Passion fruit juice', 'Lemon juice', 'Grenadine']","['10 cl ', '6 cl ', '1 cl ', '1 cl ']","question Generate a cocktail with Pineapple juice Passion fruit juice Lemon juice Grenadine answer Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
36,36,Boomerang,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,"['Gin', 'Dry Vermouth', 'Bitters', 'Maraschino liqueur', 'Maraschino cherry']","['2 oz ', '1/2 oz ', '2 dashes ', '1/2 tsp ', '1 ']","question Generate a cocktail with Gin Dry Vermouth Bitters Maraschino liqueur Maraschino cherry answer In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry."
37,37,Barracuda,Alcoholic,Ordinary Drink,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,"['Rum', 'Galliano', 'Pineapple Juice', 'Lime Juice', 'Prosecco']","['4.5 cl', '1.5 cl', '6 cl', ' 1 dash', 'top up ']","question Generate a cocktail with Rum Galliano Pineapple Juice Lime Juice Prosecco answer Shake pour ingredients with ice. Strain into glass, top with Sparkling wine."
38,38,Brigadier,Alcoholic,Cocktail,Coupe Glass,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,"['Hot Chocolate', 'Green Chartreuse', 'Cherry Heering']","['4 oz', '1 oz', '1 oz']",question Generate a cocktail with Hot Chocolate Green Chartreuse Cherry Heering answer Mix ingredients in a warmed mug and stir.
39,39,Broadside,Alcoholic,Cocktail,Highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,"['151 proof rum', 'Scotch', 'Bitters', 'Wormwood', 'Ice']","['1 shot', '1/2 shot', '3 drops', '1 Fresh', 'cubes']","question Generate a cocktail with 151 proof rum Scotch Bitters Wormwood Ice answer Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!"
40,40,Buccaneer,Alcoholic,Beer,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,"['Corona', 'Bacardi Limon']","['1 ', '1 shot ']",question Generate a cocktail with Corona Bacardi Limon answer Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently
41,41,Brain Fart,Alcoholic,Punch / Party Drink,Punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,"['Everclear', 'Vodka', 'Mountain Dew', 'Surge', 'Lemon juice', 'Rum']","['1 fifth ', '1 fifth Smirnoff red label ', '2 L ', '2 L ', '1 small bottle ', '1 pint ']",question Generate a cocktail with Everclear Vodka Mountain Dew Surge Lemon juice Rum answer Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.
42,42,Blackthorn,Alcoholic,Ordinary Drink,Cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/dgj92f1616098672.jpg,"['Sweet Vermouth', 'Sloe gin', 'Lemon peel']","['1 oz ', '1 1/2 oz ', '1 twist of ']",question Generate a cocktail with Sweet Vermouth Sloe gin Lemon peel answer Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
43,43,Bob Marley,Alcoholic,Shot,Shot glass,Layer in a 2 oz shot glass or pony glass,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,"['Midori melon liqueur', 'Jägermeister', 'Goldschlager']","['1/2 oz ', '1/2 oz ', '1/2 oz ']",question Generate a cocktail with Midori melon liqueur Jägermeister Goldschlager answer Layer in a 2 oz shot glass or pony glass
44,44,Bible Belt,Alcoholic,Other / Unknown,Highball glass,"Mix all ingredients, and pour over ice.",https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,"['Southern Comfort', 'Triple sec', 'Lime', 'Sour mix']","['2 oz ', '1/2 oz ', '2 wedges ', '2 oz ']","question Generate a cocktail with Southern Comfort Triple sec Lime Sour mix answer Mix all ingredients, and pour over ice."
45,45,Bubble Gum,Alcoholic,Shot,Shot glass,Layer in order into a shot glass.,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,"['Vodka', 'Banana liqueur', 'Orange juice', 'Peach schnapps']","['1/4 ', '1/4 ', '1/4 ', '1/4 ']",question Generate a cocktail with Vodka Banana liqueur Orange juice Peach schnapps answer Layer in order into a shot glass.
46,46,Bumble Bee,Alcoholic,Shot,Shot glass,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,"['Baileys irish cream', 'Kahlua', 'Sambuca']","['1/3 oz ', '1/3 oz ', '1/3 oz ']","question Generate a cocktail with Baileys irish cream Kahlua Sambuca answer This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!"
47,47,Baby Eskimo,Alcoholic,Shake,Collins Glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,"['Kahlua', 'Milk', 'Vanilla ice-cream']","['2 oz ', '8 oz ', '2 scoops ']","question Generate a cocktail with Kahlua Milk Vanilla ice-cream answer Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink."
48,48,Boston Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,"['Blended whiskey', 'Lemon', 'Powdered sugar', 'Egg white', 'Lemon', 'Cherry']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 ', '1 slice ', '1 ']","question Generate a cocktail with Blended whiskey Lemon Powdered sugar Egg white Lemon Cherry answer Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve."
49,49,Bahama Mama,Alcoholic,Cocktail,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg,"['Rum', 'Dark Rum', 'Banana liqueur', 'Grenadine', 'Pineapple Juice', 'Orange Juice', 'Sweet and Sour']","['3 parts', '1 part', '1 part', '1 part', '2 parts', '2 parts', '1 part']","question Generate a cocktail with Rum Dark Rum Banana liqueur Grenadine Pineapple Juice Orange Juice Sweet and Sour answer Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw."
50,50,Casino,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,"['Gin', 'Maraschino liqueur', 'Lemon juice', 'Orange bitters', 'Cherry']","['2 oz ', '1/4 tsp ', '1/4 tsp ', '2 dashes ', '1 ']",question Generate a cocktail with Gin Maraschino liqueur Lemon juice Orange bitters Cherry answer Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.
51,51,Cafe Savoy,Alcoholic,Coffee / Tea,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,"['Coffee', 'Milk', 'Triple sec', 'Brandy']","[None, '1/2 oz ', '1/2 oz ', None]","question Generate a cocktail with Coffee Milk Triple sec Brandy answer Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir."
52,52,Caipirinha,Alcoholic,Ordinary Drink,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,"['Sugar', 'Lime', 'Cachaca']","['2 tsp', '1 ', '2 1/2 oz ']",question Generate a cocktail with Sugar Lime Cachaca answer Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.
53,53,Cream Soda,Alcoholic,Cocktail,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,"['Spiced rum', 'Ginger ale']","['1 oz ', None]",question Generate a cocktail with Spiced rum Ginger ale answer Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.
54,54,Cuba Libra,Alcoholic,Ordinary Drink,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,"['Dark rum', 'Lime', 'Coca-Cola', 'Ice']","['1-2 shot ', 'Squeeze ', 'Fill with ', None]",question Generate a cocktail with Dark rum Lime Coca-Cola Ice answer Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!
55,55,Cherry Rum,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,"['Light rum', 'Cherry brandy', 'Light cream']","['1 1/4 oz ', '1 1/2 tsp ', '1 tblsp ']","question Generate a cocktail with Light rum Cherry brandy Light cream answer Shake all ingredients with ice, strain into a cocktail glass, and serve."
